Name,ResourceName,ResourceType,ResourceGroupName,Location
sanjaytest-nsg,sanjaytest-nsg,Microsoft.Network/networkSecurityGroups,forsanjay,westus
forsanjay-vnet,forsanjay-vnet,Microsoft.Network/virtualNetworks,forsanjay,westus
forsanjaydiag678,forsanjaydiag678,Microsoft.Storage/storageAccounts,forsanjay,westus
forsanjaydisks755,forsanjaydisks755,Microsoft.Storage/storageAccounts,forsanjay,westus
gopinath-testdc,gopinath-testdc,Microsoft.Compute/virtualMachines,gopinath-bvrm--azurelabexam,westus
gopinath-testdc/VMSnapshot,gopinath-testdc/VMSnapshot,Microsoft.Compute/virtualMachines/extensions,gopinath-bvrm--azurelabexam,westus
gopitestsql,gopitestsql,Microsoft.Compute/virtualMachines,gopinath-bvrm--azurelabexam,westus
gopitestsql/SqlIaasExtension,gopitestsql/SqlIaasExtension,Microsoft.Compute/virtualMachines/extensions,gopinath-bvrm--azurelabexam,westus
gopitestsql/VMSnapshot,gopitestsql/VMSnapshot,Microsoft.Compute/virtualMachines/extensions,gopinath-bvrm--azurelabexam,westus
shutdown-computevm-gopinath-testdc,shutdown-computevm-gopinath-testdc,Microsoft.DevTestLab/schedules,gopinath-bvrm--azurelabexam,westus
gopinath-dc957,gopinath-dc957,Microsoft.Network/networkInterfaces,gopinath-bvrm--azurelabexam,westus
gopinath-sql389,gopinath-sql389,Microsoft.Network/networkInterfaces,gopinath-bvrm--azurelabexam,westus
gopinath-sql63,gopinath-sql63,Microsoft.Network/networkInterfaces,gopinath-bvrm--azurelabexam,westus
gopinath-testdc345,gopinath-testdc345,Microsoft.Network/networkInterfaces,gopinath-bvrm--azurelabexam,westus
gopitestsql10,gopitestsql10,Microsoft.Network/networkInterfaces,gopinath-bvrm--azurelabexam,westus
gopinath-dc-nsg,gopinath-dc-nsg,Microsoft.Network/networkSecurityGroups,gopinath-bvrm--azurelabexam,westus
gopinath-sql-nsg,gopinath-sql-nsg,Microsoft.Network/networkSecurityGroups,gopinath-bvrm--azurelabexam,westus
gopinath-testdc-nsg,gopinath-testdc-nsg,Microsoft.Network/networkSecurityGroups,gopinath-bvrm--azurelabexam,westus
gopinathsqlnsg355,gopinathsqlnsg355,Microsoft.Network/networkSecurityGroups,gopinath-bvrm--azurelabexam,westus
gopitestsql-nsg,gopitestsql-nsg,Microsoft.Network/networkSecurityGroups,gopinath-bvrm--azurelabexam,westus
gopinath-dc-ip,gopinath-dc-ip,Microsoft.Network/publicIPAddresses,gopinath-bvrm--azurelabexam,westus
gopinath-sql-ip,gopinath-sql-ip,Microsoft.Network/publicIPAddresses,gopinath-bvrm--azurelabexam,westus
gopinath-testdc-ip,gopinath-testdc-ip,Microsoft.Network/publicIPAddresses,gopinath-bvrm--azurelabexam,westus
gopinathsqlip576,gopinathsqlip576,Microsoft.Network/publicIPAddresses,gopinath-bvrm--azurelabexam,westus
gopitestsql-ip,gopitestsql-ip,Microsoft.Network/publicIPAddresses,gopinath-bvrm--azurelabexam,westus
gopinathtestvnet,gopinathtestvnet,Microsoft.Network/virtualNetworks,gopinath-bvrm--azurelabexam,westus
gopinathrec,gopinathrec,Microsoft.RecoveryServices/vaults,gopinath-bvrm--azurelabexam,westus
gopinathtestrec,gopinathtestrec,Microsoft.RecoveryServices/vaults,gopinath-bvrm--azurelabexam,westus
gopinathstorage,gopinathstorage,Microsoft.Storage/storageAccounts,gopinath-bvrm--azurelabexam,westus
gopinathteststorage2,gopinathteststorage2,Microsoft.Storage/storageAccounts,gopinath-bvrm--azurelabexam,eastus
newdc,newdc,Microsoft.Network/networkInterfaces,gopinath-testrg,eastus
newdc,newdc,Microsoft.Network/publicIPAddresses,gopinath-testrg,eastus
newsql,newsql,Microsoft.Network/publicIPAddresses,gopinath-testrg,eastus
gopinathtestvnet2,gopinathtestvnet2,Microsoft.Network/virtualNetworks,gopinath-testrg,eastus
gopinathstorage2,gopinathstorage2,Microsoft.Storage/storageAccounts,gopinath-testrg,eastus
